Feature,Weight,Standard Deviation,RMSE,Correlation Coefficient
Centrality,0.25,0.12370402785155234,0.13116319246640665,0.3871710424300906
Proximity,0.25,0.25724739871124086,0.19124991058448057,0.8818803765637931
Reconvergence,0.2,0.0,0.23767085425196915,0.0
Sequential,0.15,0.1633595843637445,0.24286900900784947,0.4759366679114671
Embedding,0.15,0.08533600669183171,0.5506629035813662,0.09835535135868255
