topk,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
1770,354,56.78,82.77,0.0000,0.0000,61,306
1775,355,57.32,82.25,0.0000,0.0000,63,303
1780,356,56.18,82.02,0.0000,0.0000,64,312
1785,357,57.28,82.63,0.0000,0.0000,62,305
1790,358,54.89,79.05,0.0000,0.0000,75,323
1795,359,58.64,84.12,0.0000,0.0000,57,297
1800,360,57.78,84.17,0.0000,0.0000,57,304
1805,361,55.82,81.16,0.0000,0.0000,68,319
1810,362,54.01,80.11,0.0000,0.0000,72,333
1815,363,53.99,79.61,0.0000,0.0000,74,334
1820,364,55.36,81.59,0.0000,0.0000,67,325
1825,365,53.97,78.90,0.0000,0.0000,77,336
1830,366,56.42,82.51,0.0000,0.0000,64,319
1835,367,57.49,82.02,0.0000,0.0000,66,312
1840,368,55.30,80.71,0.0000,0.0000,71,329
1845,369,57.99,83.20,0.0000,0.0000,62,310
1850,370,57.57,81.89,0.0000,0.0000,67,314
1855,371,54.04,80.05,0.0000,0.0000,74,341
1860,372,57.80,81.45,0.0000,0.0000,69,314
1865,373,56.43,82.04,0.0000,0.0000,67,325
1870,374,55.35,80.48,0.0000,0.0000,73,334
1875,375,56.53,82.40,0.0000,0.0000,66,326
1880,376,57.18,82.98,0.0000,0.0000,64,322
1885,377,56.50,82.23,0.0000,0.0000,67,328
1890,378,57.54,83.86,0.0000,0.0000,61,321
1895,379,56.20,82.06,0.0000,0.0000,68,332
1900,380,54.87,79.47,0.0000,0.0000,78,343
1905,381,55.91,81.63,0.0000,0.0000,70,336
1910,382,56.54,80.63,0.0000,0.0000,74,332
1915,383,56.79,82.25,0.0000,0.0000,68,331
1920,384,56.77,82.55,0.0000,0.0000,67,332
1925,385,56.75,82.08,0.0000,0.0000,69,333
1930,386,56.22,82.38,0.0000,0.0000,68,338
1935,387,55.04,80.62,0.0000,0.0000,75,348
1940,388,54.77,79.64,0.0000,0.0000,79,351
1945,389,55.91,80.72,0.0000,0.0000,75,343
1950,390,52.44,77.95,0.0000,0.0000,86,371
1955,391,58.18,83.38,0.0000,0.0000,65,327
1960,392,55.61,80.10,0.0000,0.0000,78,348
1965,393,57.12,82.19,0.0000,0.0000,70,337
1970,394,56.73,81.73,0.0000,0.0000,72,341
1975,395,55.82,81.52,0.0000,0.0000,73,349
1980,396,56.82,81.57,0.0000,0.0000,73,342
1985,397,56.17,81.36,0.0000,0.0000,74,348
1990,398,56.28,82.41,0.0000,0.0000,70,348
1995,399,56.14,81.70,0.0000,0.0000,73,350
2000,400,57.12,83.00,0.0000,0.0000,68,343
2005,401,56.11,81.55,0.0000,0.0000,74,352
2010,402,55.60,80.60,0.0000,0.0000,78,357
2015,403,55.09,79.16,0.0000,0.0000,84,362
2020,404,54.83,79.70,0.0000,0.0000,82,365
2025,405,55.31,81.23,0.0000,0.0000,76,362
2030,406,55.67,82.02,0.0000,0.0000,73,360
2035,407,55.90,79.85,0.0000,0.0000,82,359
2040,408,57.72,82.60,0.0000,0.0000,71,345
2045,409,55.87,80.93,0.0000,0.0000,78,361
2050,410,52.20,77.32,0.0000,0.0000,93,392
2055,411,57.79,82.48,0.0000,0.0000,72,347
2060,412,56.80,82.04,0.0000,0.0000,74,356
2065,413,54.96,79.66,0.0000,0.0000,84,372
2070,414,54.11,79.23,0.0000,0.0000,86,380
2075,415,55.30,81.20,0.0000,0.0000,78,371
2080,416,54.33,79.57,0.0000,0.0000,85,380
2085,417,54.44,79.14,0.0000,0.0000,87,380
2090,418,54.07,77.75,0.0000,0.0000,93,384
2095,419,53.94,79.95,0.0000,0.0000,84,386
2100,420,57.50,82.86,0.0000,0.0000,72,357
2105,421,56.53,81.95,0.0000,0.0000,76,366
2110,422,54.03,77.73,0.0000,0.0000,94,388
2115,423,55.56,81.09,0.0000,0.0000,80,376
2120,424,54.95,79.25,0.0000,0.0000,88,382
2125,425,56.71,80.94,0.0000,0.0000,81,368
2130,426,53.29,79.58,0.0000,0.0000,87,398
2135,427,54.45,80.56,0.0000,0.0000,83,389
2140,428,55.61,80.37,0.0000,0.0000,84,380
2145,429,56.41,82.05,0.0000,0.0000,77,374
2150,430,54.53,80.00,0.0000,0.0000,86,391
2155,431,54.52,79.35,0.0000,0.0000,89,392
2160,432,55.79,80.56,0.0000,0.0000,84,382
2165,433,54.50,80.37,0.0000,0.0000,85,394
2170,434,55.30,80.41,0.0000,0.0000,85,388
2175,435,55.86,80.69,0.0000,0.0000,84,384
2180,436,57.11,82.11,0.0000,0.0000,78,374
2185,437,54.35,78.72,0.0000,0.0000,93,399
2190,438,55.14,79.22,0.0000,0.0000,91,393
2195,439,54.78,79.73,0.0000,0.0000,89,397
2200,440,54.43,78.41,0.0000,0.0000,95,401
2205,441,54.65,80.05,0.0000,0.0000,88,400
2210,442,54.19,80.32,0.0000,0.0000,87,405
2215,443,53.95,79.91,0.0000,0.0000,89,408
2220,444,55.97,81.76,0.0000,0.0000,81,391
2225,445,54.83,79.78,0.0000,0.0000,90,402
2230,446,52.58,78.70,0.0000,0.0000,95,423
2235,447,53.91,79.42,0.0000,0.0000,92,412
2240,448,54.35,80.13,0.0000,0.0000,89,409
2245,449,54.34,78.17,0.0000,0.0000,98,410
2250,450,55.00,79.56,0.0000,0.0000,92,405
2255,451,56.21,80.93,0.0000,0.0000,86,395
2260,452,52.99,77.21,0.0000,0.0000,103,425
2265,453,53.42,79.03,0.0000,0.0000,95,422
