topk,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
2850,570,53.07,77.54,0.0000,0.0000,128,535
2855,571,52.10,76.18,0.0000,0.0000,136,547
2860,572,50.70,75.70,0.0000,0.0000,139,564
2865,573,53.58,78.18,0.0000,0.0000,125,532
2870,574,51.31,76.66,0.0000,0.0000,134,559
2875,575,51.30,75.83,0.0000,0.0000,139,560
2880,576,50.17,74.83,0.0000,0.0000,145,574
2885,577,50.95,74.70,0.0000,0.0000,146,566
2890,578,49.22,73.70,0.0000,0.0000,152,587
2895,579,51.73,74.96,0.0000,0.0000,145,559
2900,580,50.43,74.66,0.0000,0.0000,147,575
2905,581,53.10,77.11,0.0000,0.0000,133,545
2910,582,52.49,76.46,0.0000,0.0000,137,553
2915,583,53.86,77.53,0.0000,0.0000,131,538
2920,584,52.65,76.71,0.0000,0.0000,136,553
2925,585,51.97,75.73,0.0000,0.0000,142,562
2930,586,53.24,75.77,0.0000,0.0000,142,548
2935,587,54.09,78.19,0.0000,0.0000,128,539
2940,588,50.94,75.00,0.0000,0.0000,147,577
2945,589,50.76,74.87,0.0000,0.0000,148,580
2950,590,52.71,76.10,0.0000,0.0000,141,558
2955,591,50.42,75.13,0.0000,0.0000,147,586
2960,592,49.24,72.97,0.0000,0.0000,160,601
2965,593,50.76,74.20,0.0000,0.0000,153,584
2970,594,51.77,75.76,0.0000,0.0000,144,573
2975,595,54.45,78.66,0.0000,0.0000,127,542
2980,596,50.08,74.83,0.0000,0.0000,150,595
2985,597,51.76,75.21,0.0000,0.0000,148,576
2990,598,50.25,74.25,0.0000,0.0000,154,595
2995,599,53.09,76.96,0.0000,0.0000,138,562
3000,600,53.08,77.33,0.0000,0.0000,136,563
